date,close,pred_prob_up,pred_up,position,asset_ret,strategy_ret,buy_hold_ret,strategy_cum,buy_hold_cum
2023-10-27,511.3459777832031,,0,0,0.0,0.0,0.0,1.0,1.0
2023-10-30,510.38671875,,0,0,-0.0018759491125005,-0.0,-0.0018759491125005,1.0,0.9981240508874994
2023-10-31,507.508544921875,,1,0,-0.0056392020450179,-0.0,-0.0056392020450179,1.0,0.992495427698553
2023-11-01,506.5492248535156,,1,1,-0.0018902540222393,-0.0018902540222393,-0.0018902540222393,0.9981097459777608,0.9906193592242916
2023-11-02,524.7772827148438,,1,1,0.035984771009371,0.035984771009371,0.035984771009371,1.0340264966289918,1.0262665700234277
2023-11-03,526.696044921875,,0,1,0.0036563362596506,0.0036563362596506,0.0036563362596506,1.037807245202056,1.0300189456954716
2023-11-06,527.6554565429688,,1,0,0.001821566025308,0.0,0.001821566025308,1.037807245202056,1.031895193212374
2023-11-07,532.4522705078125,,1,1,0.0090908070889117,0.0090908070889117,0.0090908070889117,1.0472417506636629,1.041275953349843
2023-11-08,533.4116821289062,,1,1,0.0018018734715483,0.0018018734715483,0.0018018734715483,1.049128747792481,1.043152200866745
2023-11-09,534.3710327148438,,1,1,0.0017985181391391,0.0017985181391391,0.0017985181391391,1.0510156248756783,1.0450283290218871
2023-11-10,534.3710327148438,,1,1,0.0,0.0,0.0,1.0510156248756783,1.0450283290218871
2023-11-13,547.80224609375,,1,1,0.0251346209967064,0.0251346209967064,0.0251346209967064,1.077432504268545,1.0712947200026737
2023-11-14,548.76171875,,0,1,0.0017514945641274,0.0017514945641274,0.0017514945641274,1.0793196214429857,1.0731710868813369
2023-11-15,557.39599609375,,1,0,0.015734110177032,0.0,0.015734110177032,1.0793196214429857,1.0900564790011331
2023-11-16,559.3147583007812,,1,1,0.0034423681197532,0.0034423681197532,0.0034423681197532,1.0830350368988653,1.0938088546731772
2023-11-17,556.4366455078125,,0,1,-0.0051457837474422,-0.0051457837474422,-0.0051457837474422,1.0774619728080803,1.0881803508459915
2023-11-20,553.5584716796875,,0,0,-0.0051725094875775,-0.0,-0.0051725094875775,1.0774619728080803,1.082551727657045
2023-11-21,561.2333984375,,1,0,0.0138647083378999,0.0,0.0138647083378999,1.0774619728080803,1.0975609916216995
2023-11-22,553.5584716796875,,0,1,-0.0136751069682948,-0.0136751069682948,-0.0136751069682948,1.06272756507566,1.082551727657045
2023-11-23,554.517822265625,,0,0,0.0017330609773282,0.0,0.0017330609773282,1.06272756507566,1.084427855812187
2023-11-24,551.6397705078125,,0,0,-0.0051901880196627,-0.0,-0.0051901880196627,1.06272756507566,1.078799471346762
2023-11-27,544.9241943359375,,0,0,-0.0121738433864059,-0.0,-0.0121738433864059,1.06272756507566,1.0656663355372489
2023-11-28,551.6397705078125,,0,0,0.0123238722774252,0.0,0.0123238722774252,1.06272756507566,1.0787994713467617
2023-11-29,550.6803588867188,,0,0,-0.0017391995145864,-0.0,-0.0017391995145864,1.06272756507566,1.0769232238298592
2023-11-30,553.5584716796875,,0,0,0.0052264671265691,0.0,0.0052264671265691,1.06272756507566,1.0825517276570449
2023-12-01,555.4772338867188,,0,0,0.0034662322142935,0.0,0.0034662322142935,1.06272756507566,1.0863041033290888
2023-12-04,550.6803588867188,,0,0,-0.0086355924372198,-0.0,-0.0086355924372198,1.06272756507566,1.0769232238298592
2023-12-05,546.8429565429688,,0,0,-0.0069684750542181,-0.0,-0.0069684750542181,1.06272756507566,1.0694187112092923
2023-12-06,546.8429565429688,,0,0,0.0,0.0,0.0,1.06272756507566,1.0694187112092923
2023-12-07,543.00537109375,,0,0,-0.0070177103011057,-0.0,-0.0070177103011057,1.06272756507566,1.0619138405034438
2023-12-08,546.8429565429688,,0,0,0.0070673066115145,0.0,0.0070673066115145,1.06272756507566,1.0694187112092923
2023-12-11,550.6803588867188,,0,0,0.0070173754600575,0.0,0.0070173754600575,1.06272756507566,1.076923223829859
2023-12-12,554.517822265625,,0,0,0.0069685858901236,0.0,0.0069685858901236,1.06272756507566,1.084427855812186
2023-12-13,553.5584716796875,,0,0,-0.0017300626732209,-0.0,-0.0017300626732209,1.06272756507566,1.0825517276570444
2023-12-14,561.2735595703125,,0,0,0.0139372591791699,0.0,0.0139372591791699,1.06272756507566,1.097639531660259
2023-12-15,564.166748046875,,0,0,0.0051546851392347,0.0,0.0051546851392347,1.06272756507566,1.1032975178423448
2023-12-18,564.166748046875,,0,0,0.0,0.0,0.0,1.06272756507566,1.1032975178423448
2023-12-19,564.166748046875,,0,0,0.0,0.0,0.0,1.06272756507566,1.1032975178423448
2023-12-20,564.166748046875,,0,0,0.0,0.0,0.0,1.06272756507566,1.1032975178423448
2023-12-21,556.45166015625,,0,0,-0.0136751907434005,-0.0,-0.0136751907434005,1.06272756507566,1.0882097138391305
2023-12-22,561.2735595703125,,0,0,0.0086654416894156,0.0,0.0086654416894156,1.06272756507566,1.0976395316602592
2023-12-25,560.3092041015625,,0,0,-0.001718155883716,-0.0,-0.001718155883716,1.06272756507566,1.0957536158407375
2023-12-26,565.1311645507812,,0,0,0.0086058919145377,0.0,0.0086058919145377,1.06272756507566,1.1051835530236271
2023-12-27,570.91748046875,,0,0,0.0102388901567094,0.0,0.0102388901567094,1.06272756507566,1.1164994060260378
2023-12-28,571.8818359375,,0,0,0.0016891328462358,0.0,0.0016891328462358,1.06272756507566,1.1183853218455593
2023-12-29,571.8818359375,,0,0,0.0,0.0,0.0,1.06272756507566,1.1183853218455593
2024-01-02,571.8818359375,,0,0,0.0,0.0,0.0,1.06272756507566,1.1183853218455593
2024-01-03,557.4160766601562,,0,0,-0.0252950144038578,-0.0,-0.0252950144038578,1.06272756507566,1.0900957490204126
2024-01-04,559.3448486328125,,0,0,0.0034602015503621,0.0,0.0034602015503621,1.06272756507566,1.0938677000212162
2024-01-05,555.4871215820312,,0,0,-0.0068968670404502,-0.0,-0.0068968670404502,1.06272756507566,1.086323439934327
2024-01-08,562.2379150390625,,0,0,0.0121529252339909,0.0,0.0121529252339909,1.06272756507566,1.0995254474797806
2024-01-09,565.1311645507812,,0,0,0.0051459523349963,0.0,0.0051459523349963,1.06272756507566,1.1051835530236271
2024-01-10,563.2024536132812,,0,0,-0.0034128553838171,-0.0,-0.0034128553838171,1.06272756507566,1.1014117213845842
2024-01-11,565.1311645507812,,0,0,0.0034245428533312,0.0,0.0034245428533312,1.06272756507566,1.1051835530236271
2024-01-12,563.2024536132812,,0,0,-0.0034128553838171,-0.0,-0.0034128553838171,1.06272756507566,1.1014117213845842
2024-01-15,565.1311645507812,,0,0,0.0034245428533312,0.0,0.0034245428533312,1.06272756507566,1.1051835530236271
2024-01-16,559.3448486328125,,0,0,-0.0102388901567094,-0.0,-0.0102388901567094,1.06272756507566,1.0938677000212165
2024-01-17,560.3092041015625,,0,0,0.0017240803613498,0.0,0.0017240803613498,1.06272756507566,1.095753615840738
2024-01-18,567.0598754882812,,0,0,0.0120481179629079,0.0,0.0120481179629079,1.06272756507566,1.10895538466267
2024-01-19,603.7066040039062,,0,0,0.064625853635067,0.0,0.064625853635067,1.06272756507566,1.1806225730396993
2024-01-22,603.7066040039062,,0,0,0.0,0.0,0.0,1.06272756507566,1.1806225730396993
2024-01-23,605.6354370117188,,0,0,0.0031949841115206,0.0,0.0031949841115206,1.06272756507566,1.184394643402264
2024-01-24,604.6710815429688,,0,0,-0.0015923035704585,-0.0,-0.0015923035704585,1.06272756507566,1.1825087275827424
2024-01-25,619.1367797851562,,0,0,0.0239232513075946,0.0,0.0239232513075946,1.06272756507566,1.2107981810461284
2024-01-26,621.0655517578125,,0,0,0.0031152598838104,0.0,0.0031152598838104,1.06272756507566,1.214570132046932
2024-01-29,624.9231567382812,,0,0,0.0062112686326756,0.0,0.0062112686326756,1.06272756507566,1.2221141534102995
2024-01-30,619.1367797851562,,0,0,-0.0092593415538101,-0.0,-0.0092593415538101,1.06272756507566,1.210798181046128
2024-01-31,605.6354370117188,,0,0,-0.0218067206056189,-0.0,-0.0218067206056189,1.06272756507566,1.1843946434022636
2024-02-01,605.6354370117188,,0,0,0.0,0.0,0.0,1.06272756507566,1.1843946434022636
2024-02-02,612.3861694335938,,0,0,0.011146528108038,0.0,0.011146528108038,1.06272756507566,1.1975965315859567
2024-02-05,622.9945068359375,,0,0,0.0173229539330641,0.0,0.0173229539330641,1.06272756507566,1.2183424411330177
2024-02-15,672.17822265625,,0,0,0.0789472704504354,0.0,0.0789472704504354,1.06272756507566,1.3145272513343895
2024-02-16,658.6768188476562,,0,0,-0.0200860476485539,-0.0,-0.0200860476485539,1.06272756507566,1.2881235943287646
2024-02-19,653.8547973632812,,0,0,-0.007320769983694,-0.0,-0.007320769983694,1.06272756507566,1.2786935377841144
2024-02-20,662.5343017578125,,0,0,0.0132743606524445,0.0,0.0132743606524445,1.06272756507566,1.2956673769686111
2024-02-21,656.7479858398438,,0,0,-0.0087336095695221,-0.0,-0.0087336095695221,1.06272756507566,1.2843515239662004
2024-02-22,667.3561401367188,,0,0,0.0161525494186469,0.0,0.0161525494186469,1.06272756507566,1.3050970754279791
2024-02-23,672.17822265625,,0,0,0.0072256509373591,0.0,0.0072256509373591,1.06272756507566,1.31452725133439
2024-02-26,673.1425170898438,,0,0,0.0014345814861171,0.0,0.0014345814861171,1.06272756507566,1.3164130477921507
2024-02-27,673.1425170898438,,0,0,0.0,0.0,0.0,1.06272756507566,1.3164130477921507
2024-02-29,665.4273681640625,,0,0,-0.0114613900175786,-0.0,-0.0114613900175786,1.06272756507566,1.3013251244271755
2024-03-01,664.4630126953125,,0,0,-0.0014492272408492,-0.0,-0.0014492272408492,1.06272756507566,1.299439208607654
2024-03-04,699.1809692382812,,1,0,0.0522496450210818,0.0,0.0522496450210818,1.06272756507566,1.3673344459838794
2024-03-05,704.0029907226562,,0,1,0.0068966715293012,0.0068966715293012,0.0068966715293012,1.070056848017121,1.376764502528529
2024-03-06,708.8248901367188,,0,0,0.0068492598435028,0.0,0.0068492598435028,1.070056848017121,1.386194320349658
2024-03-07,732.9346313476562,,0,0,0.0340136774913295,0.0,0.0340136774913295,1.070056848017121,1.433343886902344
2024-03-08,756.079833984375,,0,0,0.031578808868891,0.0,0.031578808868891,1.070056848017121,1.4786071795502267
2024-03-11,738.720947265625,,0,0,-0.0229590658796868,-0.0,-0.0229590658796868,1.070056848017121,1.444659739904755
2024-03-12,742.5784912109375,,0,0,0.0052219230544243,0.0,0.0052219230544243,1.070056848017121,1.4522036419063622
2024-03-13,751.2579345703125,,0,0,0.0116882504167623,0.0,0.0116882504167623,1.070056848017121,1.469177361729098
2024-03-14,756.079833984375,,0,0,0.0064184339255204,0.0,0.0064184339255204,1.070056848017121,1.4786071795502267
2024-03-15,726.1839599609375,,0,0,-0.0395406313985294,-0.0,-0.0395406313985294,1.070056848017121,1.420142118080412
2024-03-18,740.2326049804688,,0,0,0.0193458487024238,0.0,0.0193458487024238,1.070056848017121,1.4476159726327351
2024-03-19,738.2947387695312,,0,0,-0.0026179152308328,-0.0,-0.0026179152308328,1.070056848017121,1.443826236729583
2024-03-20,734.419189453125,,0,0,-0.0052493253884828,-0.0,-0.0052493253884828,1.070056848017121,1.4362471230085607
2024-03-21,759.6103515625,,0,0,0.0343007950651905,0.0,0.0343007950651905,1.070056848017121,1.485511541237847
2024-03-22,760.5792236328125,,0,0,0.0012754856069556,0.0,0.0012754856069556,1.070056848017121,1.4874062898276623
2024-03-25,755.7349243164062,,0,0,-0.0063692238308431,-0.0,-0.0063692238308431,1.070056848017121,1.477932666240346
2024-03-26,757.6726684570312,,0,0,0.0025640526569257,0.0,0.0025640526569257,1.070056848017121,1.4817221634199769
2024-03-27,754.7659301757812,,0,0,-0.0038364037694132,-0.0,-0.0038364037694132,1.070056848017121,1.476037678927009
2024-03-28,745.0770263671875,,0,0,-0.0128369649731503,-0.0,-0.0128369649731503,1.070056848017121,1.4570898349435732
2024-03-29,751.859375,,0,0,0.0091028825111969,0.0,0.0091028825111969,1.070056848017121,1.470353552519324
2024-04-01,746.0459594726562,,0,0,-0.0077320516583885,-0.0,-0.0077320516583885,1.070056848017121,1.4589847028951497
2024-04-02,765.4237060546875,,0,0,0.025973931412655,0.0,0.025973931412655,1.070056848017121,1.496880271500261
2024-04-03,755.7349243164062,,0,0,-0.0126580633205382,-0.0,-0.0126580633205382,1.070056848017121,1.4779326662403462
2024-04-08,758.6415405273438,,0,0,0.0038460789853884,0.0,0.0038460789853884,1.070056848017121,1.4836169120097924
2024-04-09,793.5216064453125,,0,0,0.0459770050210051,0.0,0.0459770050210051,1.070056848017121,1.5518291742225148
2024-04-10,789.6460571289062,,0,0,-0.0048839871339702,-0.0,-0.0048839871339702,1.070056848017121,1.5442500605014924
2024-04-11,794.4904174804688,,0,0,0.006134850301382,0.0,0.006134850301382,1.070056848017121,1.5537238034505692
2024-04-12,792.5526733398438,,0,0,-0.0024389773595634,-0.0,-0.0024389773595634,1.070056848017121,1.5499343062709383
2024-04-15,780.9259643554688,,0,0,-0.0146699511281435,-0.0,-0.0146699511281435,1.070056848017121,1.5271968457461107
2024-04-16,763.4859619140625,,0,0,-0.0223324658641619,-0.0,-0.0223324658641619,1.070056848017121,1.49309077432063
2024-04-17,778.98828125,,0,0,0.0203046553692658,0.0,0.0203046553692658,1.070056848017121,1.5234074679282406
2024-04-18,778.98828125,,0,0,0.0,0.0,0.0,1.070056848017121,1.5234074679282406
2024-04-19,726.6680908203125,,0,0,-0.0671642843532025,-0.0,-0.0671642843532025,1.070056848017121,1.421088895566516
2024-04-22,718.9170532226562,,0,0,-0.0106665445965934,-0.0,-0.0106665445965934,1.070056848017121,1.405930787486232
2024-04-23,730.5437622070312,,0,0,0.0161725319106793,0.0,0.0161725319106793,1.070056848017121,1.4286682480110595
2024-04-24,758.6415405273438,,0,0,0.0384614581273363,0.0,0.0384614581273363,1.070056848017121,1.483616912009792
2024-04-25,742.17041015625,,0,0,-0.0217113478384592,-0.0,-0.0217113478384592,1.070056848017121,1.4514055891741264
2024-04-26,757.6726684570312,,0,0,0.0208877342570388,0.0,0.0208877342570388,1.070056848017121,1.4817221634199764
2024-04-29,770.2681884765625,,0,0,0.0166239598495501,0.0,0.0166239598495501,1.070056848017121,1.5063542531728586
2024-04-30,765.4237060546875,,0,0,-0.0062893450545535,-0.0,-0.0062893450545535,1.070056848017121,1.4968802715002605
2024-05-02,747.9835815429688,,0,0,-0.0227849286268025,-0.0,-0.0227849286268025,1.070056848017121,1.462773961351258
2024-05-03,755.7349243164062,,0,0,0.0103629851840434,0.0,0.0103629851840434,1.070056848017121,1.4779326662403456
2024-05-06,761.5481567382812,,0,0,0.0076921579707769,0.0,0.0076921579707769,1.070056848017121,1.489301157779238
2024-05-07,775.1126708984375,,0,0,0.017811761528323,0.0,0.017811761528323,1.070056848017121,1.5158282348454573
2024-05-08,777.0503540039062,,0,0,0.0024998728290981,0.0,0.0024998728290981,1.070056848017121,1.5196176126633272
