Date,close,pred_up,position,strategy_ret,buy_hold_ret,strategy_cum,buy_hold_cum
2023-10-27,511.3460693359375,0,0,0.0,0.0,1.0,1.0
2023-10-30,510.38677978515625,0,0,-0.0,-0.0018760084574953595,1.0,0.9981239915425046
2023-10-31,507.508544921875,0,0,-0.0,-0.005639320956731697,1.0,0.9924952499995823
2023-11-01,506.54925537109375,0,0,-0.0,-0.0018901938900928172,1.0,0.9906192415420869
2023-11-02,524.7772827148438,0,0,0.0,0.03598470859540859,1.0,1.0262663862779835
2023-11-03,526.6959228515625,0,0,0.0,0.0036561036460895924,1.0,1.0300185225547136
2023-11-06,527.6553955078125,0,0,0.0,0.001821682330585217,1.0,1.031894889097427
2023-11-07,532.4522705078125,0,0,0.0,0.009090923812848484,1.0,1.0412757669170796
2023-11-08,533.4116821289062,0,0,0.0,0.0018018734715483653,1.0,1.0431520140980537
2023-11-09,534.37109375,0,0,0.0,0.0017986325632477485,1.0,1.045028261279028
2023-11-10,534.37109375,0,0,0.0,0.0,1.0,1.045028261279028
2023-11-13,547.80224609375,0,0,0.0,0.025134503907192407,1.0,1.0712945281952722
2023-11-14,548.76171875,0,0,0.0,0.001751494564127487,1.0,1.0731708947379857
2023-11-15,557.39599609375,0,0,0.0,0.01573411017703208,1.0,1.0900562838345773
2023-11-16,559.3147583007812,0,0,0.0,0.003442368119753292,1.0,1.0938086588347862
2023-11-17,556.4365234375,0,0,-0.0,-0.005146001997203609,1.0,1.0881799172918638
2023-11-20,553.5584716796875,0,0,-0.0,-0.005172291243631388,1.0,1.0825515338341596
2023-11-21,561.2335205078125,0,0,0.0,0.013864928857174386,1.0,1.0975610338349953
2023-11-22,553.5584716796875,0,0,-0.0,-0.013675321497512272,1.0,1.0825515338341598
2023-11-23,554.517822265625,0,0,0.0,0.0017330609773282823,1.0,1.0844276616533948
2023-11-24,551.6397094726562,0,0,-0.0,-0.0051902980885437655,1.0,1.0787991588339512
2023-11-27,544.9241333007812,0,0,-0.0,-0.012173844733358252,1.0,1.0656660253758292
2023-11-28,551.6397094726562,0,0,0.0,0.012323873657781759,1.0,1.0787991588339514
2023-11-29,550.680419921875,0,0,-0.0,-0.0017389784207128,1.0,1.076923150376456
2023-11-30,553.5584716796875,0,0,0.0,0.005226355711395847,1.0,1.0825515338341605
2023-12-01,555.4772338867188,0,0,0.0,0.003466232214293541,1.0,1.0863039088343693
2023-12-04,550.680419921875,0,0,-0.0,-0.008635482558448038,1.0,1.0769231503764563
2023-12-05,546.8428955078125,0,0,-0.0,-0.0069686959536475745,1.0,1.0694184003760385
2023-12-06,546.8428955078125,0,0,0.0,0.0,1.0,1.0694184003760385
2023-12-07,543.00537109375,0,0,-0.0,-0.007017599470683256,1.0,1.0619136503756208
2023-12-08,546.8428955078125,0,0,0.0,0.007067194209023686,1.0,1.0694184003760385
2023-12-11,550.680419921875,0,0,0.0,0.007017599470683145,1.0,1.0769231503764563
2023-12-12,554.517822265625,0,0,0.0,0.006968474281860981,1.0,1.0844276616533952
2023-12-13,553.5584716796875,0,0,-0.0,-0.0017300626732209556,1.0,1.0825515338341605
2023-12-14,561.2736206054688,0,0,0.0,0.01393736943880719,1.0,1.0976394544977546
2023-12-15,564.1668090820312,0,0,0.0,0.0051546845786936135,1.0,1.1032974396668198
2023-12-18,564.1668090820312,0,0,0.0,0.0,1.0,1.1032974396668198
2023-12-19,564.1668090820312,0,0,0.0,0.0,1.0,1.1032974396668198
2023-12-20,564.1668090820312,0,0,0.0,0.0,1.0,1.1032974396668198
2023-12-21,556.45166015625,0,0,-0.0,-0.013675297450296164,1.0,1.088209519003226
2023-12-22,561.2736206054688,0,0,0.0,0.008665551375774072,1.0,1.0976394544977548
2023-12-25,560.3092041015625,0,0,-0.0,-0.0017182644409082792,1.0,1.0957534196541534
2023-12-26,565.1311645507812,0,0,0.0,0.008605891914537755,1.0,1.1051833551486823
2023-12-27,570.91748046875,0,0,0.0,0.010238890156709424,1.0,1.1164992061250731
2023-12-28,571.8817749023438,0,0,0.0,0.0016890259390938134,1.0,1.118385002245196
2023-12-29,571.8817749023438,0,0,0.0,0.0,1.0,1.118385002245196
2024-01-02,571.8817749023438,0,0,0.0,0.0,1.0,1.118385002245196
2024-01-03,557.416015625,0,0,-0.0,-0.025295017103515782,1.0,1.0900954344850882
2024-01-04,559.3447265625,0,0,0.0,0.0034600924326464444,1.0,1.0938672654488124
2024-01-05,555.4872436523438,0,0,-0.0,-0.006896432069472991,1.0,1.0863234841596245
2024-01-08,562.238037109375,0,0,0.0,0.012152922563342106,1.0,1.0995254893413564
2024-01-09,565.1311645507812,0,0,0.0,0.005145734102731003,1.0,1.1051833551486823
2024-01-10,563.202392578125,0,0,-0.0,-0.003412963385569845,1.0,1.1014114048232186
2024-01-11,565.1311645507812,0,0,0.0,0.003424651596075634,1.0,1.1051833551486825
2024-01-12,563.202392578125,0,0,-0.0,-0.003412963385569845,1.0,1.1014114048232189
2024-01-15,565.1311645507812,0,0,0.0,0.003424651596075634,1.0,1.1051833551486827
2024-01-16,559.3447265625,0,0,-0.0,-0.010239106160214728,1.0,1.093867265448813
2024-01-17,560.3092041015625,0,0,0.0,0.0017242989756778293,1.0,1.095753419654154
2024-01-18,567.0598754882812,0,0,0.0,0.012048117962907945,1.0,1.1089551861124072
2024-01-19,603.7066040039062,1,0,0.0,0.06462585363506701,1.0,1.180622361657956
2024-01-22,603.7066040039062,0,1,0.0,0.0,1.0,1.180622361657956
2024-01-23,605.6353759765625,0,0,0.0,0.0031948830108272652,1.0,1.18439431198342
2024-01-24,604.6709594726562,0,0,-0.0,-0.0015924045096460393,1.0,1.1825082771398183
2024-01-25,619.1368408203125,0,0,0.0,0.023923558955555313,1.0,1.210798083623405
2024-01-26,621.0656127929688,0,0,0.0,0.0031152595767047764,1.0,1.2145700339488685
2024-01-29,624.9232177734375,0,0,0.0,0.006211268022263905,1.0,1.2221140539615352
2024-01-30,619.1368408203125,0,0,-0.0,-0.009259340649466541,1.0,1.2107980836234047
2024-01-31,605.6353759765625,0,0,-0.0,-0.021806915617977984,1.0,1.1843943119834197
2024-02-01,605.6353759765625,0,0,0.0,0.0,1.0,1.1843943119834197
2024-02-02,612.3861083984375,0,0,0.0,0.011146529231370828,1.0,1.1975961978034122
2024-02-05,622.9943237304688,0,0,0.0,0.017322756324069433,1.0,1.2183418649125928
2024-02-15,672.1781616210938,1,0,0.0,0.07894748959527242,1.0,1.3145268966162644
2024-02-16,658.6766357421875,0,1,-0.020086231076511862,-0.020086231076511862,0.9799137689234881,1.28812300561454
2024-02-19,653.8548583984375,0,0,-0.0,-0.007320401365560669,0.9799137689234881,1.2786934282052294
2024-02-20,662.5343017578125,0,0,0.0,0.013274266066684248,0.9799137689234881,1.295667144988946
2024-02-21,656.7478637695312,0,0,-0.0,-0.008733793817058078,0.9799137689234881,1.2843510552890762
2024-02-22,667.3562622070312,0,0,0.0,0.016152924162723625,0.9799137689234881,1.3050970804834747
